172	11										
Time	C2H2	H2	H	O2	OH	H2O	CO	A4	T	P	Alpha
0.013242511	1.12E-07	5.78E-07	1.34E-09	4.44E-08	9.04E-11	8.08E-07	0	3.19E-13	1613	1	0.910571171
0.013385686	1.13E-07	5.77E-07	1.34E-09	4.02E-08	9.13E-11	8.02E-07	0	3.47E-13	1628	1	0.899079689
0.013527461	1.13E-07	5.75E-07	1.33E-09	3.64E-08	9.23E-11	7.96E-07	0	3.76E-13	1643	1	0.886737699
0.013667884	1.13E-07	5.73E-07	1.31E-09	3.30E-08	9.31E-11	7.89E-07	0	4.02E-13	1659	1	0.872273284
0.013810644	1.13E-07	5.73E-07	1.30E-09	3.00E-08	9.26E-11	7.86E-07	0	4.31E-13	1667	1	0.861816717
0.013952636	1.13E-07	5.73E-07	1.28E-09	2.74E-08	9.16E-11	7.82E-07	0	4.57E-13	1676	1	0.850460937
0.014093887	1.13E-07	5.72E-07	1.25E-09	2.50E-08	9.07E-11	7.78E-07	0	4.81E-13	1684	1	0.839276922
0.014234403	1.13E-07	5.72E-07	1.23E-09	2.29E-08	8.95E-11	7.76E-07	0	5.02E-13	1692	1	0.827774815
0.01451936	1.13E-07	5.73E-07	1.17E-09	1.93E-08	8.49E-11	7.72E-07	0	5.41E-13	1699	1	0.81040303
0.014803076	1.12E-07	5.74E-07	1.10E-09	1.65E-08	8.00E-11	7.69E-07	0	5.67E-13	1706	1	0.791777178
0.015087137	1.12E-07	5.74E-07	1.03E-09	1.41E-08	7.47E-11	7.67E-07	0	5.82E-13	1711	1	0.77598707
0.015370453	1.11E-07	5.75E-07	9.62E-10	1.22E-08	6.96E-11	7.64E-07	0	5.86E-13	1715	1	0.758964469
0.01565482	1.11E-07	5.77E-07	8.95E-10	1.07E-08	6.39E-11	7.64E-07	0	5.84E-13	1714	1	0.748012258
0.01593941	1.11E-07	5.79E-07	8.32E-10	9.39E-09	5.87E-11	7.65E-07	0	5.76E-13	1712	1	0.736036011
0.016223023	1.11E-07	5.81E-07	7.74E-10	8.31E-09	5.39E-11	7.65E-07	0	5.64E-13	1710	1	0.725047068
0.016507047	1.11E-07	5.82E-07	7.22E-10	7.39E-09	4.97E-11	7.65E-07	0	5.50E-13	1708	1	0.715033382
0.017075693	1.10E-07	5.85E-07	6.37E-10	5.91E-09	4.31E-11	7.64E-07	0	5.20E-13	1707	1	0.694120182
0.017641854	1.10E-07	5.87E-07	5.73E-10	4.80E-09	3.84E-11	7.63E-07	0	4.93E-13	1707	1	0.675460895
0.018210575	1.09E-07	5.89E-07	5.22E-10	3.94E-09	3.47E-11	7.61E-07	0	4.71E-13	1707	1	0.657984097
0.018776737	1.09E-07	5.92E-07	4.83E-10	3.26E-09	3.18E-11	7.60E-07	0	4.54E-13	1706	1	0.644761439
0.019345832	1.09E-07	5.94E-07	4.51E-10	2.72E-09	2.94E-11	7.59E-07	0	4.41E-13	1705	1	0.632564111
0.01991274	1.09E-07	5.96E-07	4.24E-10	2.28E-09	2.74E-11	7.58E-07	0	4.30E-13	1704	1	0.6221421
0.020480022	1.08E-07	5.98E-07	4.03E-10	1.92E-09	2.58E-11	7.58E-07	0	4.21E-13	1702	1	0.613301013
0.021047679	1.08E-07	6.00E-07	3.85E-10	1.62E-09	2.44E-11	7.57E-07	0	4.14E-13	1701	1	0.604705135
0.021615711	1.08E-07	6.02E-07	3.71E-10	1.37E-09	2.33E-11	7.56E-07	0	4.09E-13	1700	1	0.597735846
0.022184043	1.08E-07	6.04E-07	3.59E-10	1.16E-09	2.24E-11	7.55E-07	0	4.04E-13	1699	1	0.592342979
0.022752676	1.08E-07	6.06E-07	3.48E-10	9.85E-10	2.16E-11	7.54E-07	0	4.01E-13	1698	1	0.586255013
0.023318963	1.08E-07	6.07E-07	3.40E-10	8.36E-10	2.10E-11	7.52E-07	0	3.98E-13	1698	1	0.581078403
0.023888122	1.08E-07	6.09E-07	3.33E-10	7.09E-10	2.04E-11	7.51E-07	0	3.96E-13	1697	1	0.575833826
0.02445486	1.08E-07	6.11E-07	3.26E-10	6.02E-10	1.99E-11	7.51E-07	0	3.94E-13	1696	1	0.572810573
0.025021822	1.08E-07	6.12E-07	3.21E-10	5.11E-10	1.94E-11	7.50E-07	0	3.92E-13	1696	1	0.568470851
0.02558901	1.08E-07	6.14E-07	3.16E-10	4.33E-10	1.90E-11	7.49E-07	0	3.90E-13	1695	1	0.564770391
0.026156424	1.07E-07	6.16E-07	3.11E-10	3.66E-10	1.87E-11	7.48E-07	0	3.89E-13	1694	1	0.561805912
0.026724063	1.07E-07	6.17E-07	3.07E-10	3.09E-10	1.83E-11	7.47E-07	0	3.88E-13	1693	1	0.558857062
0.027291928	1.07E-07	6.18E-07	3.04E-10	2.60E-10	1.80E-11	7.46E-07	0	3.86E-13	1693	1	0.555327037
0.027860019	1.07E-07	6.20E-07	3.00E-10	2.19E-10	1.77E-11	7.46E-07	0	3.84E-13	1692	1	0.552412772
0.028428413	1.07E-07	6.21E-07	2.97E-10	1.83E-10	1.74E-11	7.45E-07	0	3.83E-13	1691	1	0.550210544
0.028994375	1.07E-07	6.23E-07	2.94E-10	1.53E-10	1.71E-11	7.44E-07	0	3.81E-13	1690	1	0.548016942
0.029563221	1.07E-07	6.25E-07	2.91E-10	1.28E-10	1.69E-11	7.43E-07	0	3.79E-13	1689	1	0.545141007
